num_passengers,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,flight_duration,sales_channel_Internet,sales_channel_Mobile,trip_type_CircleTrip,trip_type_OneWay,trip_type_RoundTrip,booking_complete,total_service_preferences
1,14,21,1,1,ICNMEL,Australia,8.83,True,False,False,False,True,0,2
1,149,6,2,1,PENPVG,China,5.33,True,False,False,False,True,0,0
3,69,4,9,4,JOGTPE,Taiwan,4.67,True,False,False,False,True,0,2
2,114,3,13,5,CNXPER,Thailand,5.62,False,True,False,False,True,0,3
1,181,6,7,4,LGKMEL,Australia,8.83,True,False,False,False,True,0,3
1,12,6,0,4,DMKPER,Australia,5.62,True,False,False,False,True,0,1
1,89,31,0,2,COKPER,Australia,5.62,True,False,False,False,True,0,0
1,8,30,5,2,CMBMEL,Australia,8.83,True,False,False,False,True,0,1
1,57,6,7,5,ICNSIN,Singapore,6.62,False,True,False,False,True,0,1
3,37,18,4,5,HNDTRZ,Japan,7.57,False,True,False,False,True,0,1
1,13,5,10,6,PERUTP,Australia,5.62,True,False,False,False,True,0,2
2,40,3,8,4,DPSKIX,Japan,7.0,True,False,False,False,True,0,1
2,15,35,12,4,KTMSYD,Australia,8.58,True,False,False,False,True,0,3
1,200,6,6,4,AKLKUL,Malaysia,8.83,False,True,False,False,True,0,0
1,13,4,13,5,BKIPVG,Malaysia,5.33,True,False,False,False,True,0,2
1,7,6,3,1,OOLSGN,Australia,8.83,False,True,False,False,True,0,3
1,18,91,11,6,DELOOL,Australia,8.83,True,False,False,False,True,0,1
1,64,41,10,4,MELSGN,Australia,8.83,True,False,False,False,True,0,1
1,3,5,7,3,BKIPER,Australia,5.62,True,False,False,False,True,0,0
1,107,43,9,5,BDOICN,Indonesia,6.62,True,False,False,False,True,0,3
1,136,29,6,3,MNLPER,Australia,5.62,True,False,False,False,True,0,2
2,11,78,1,5,SYDTRZ,Australia,8.58,True,False,False,False,True,0,2
1,125,4,12,3,CGKJED,Indonesia,9.5,True,False,False,False,True,0,3
6,346,21,4,0,AKLKUL,New Zealand,8.83,True,False,False,False,True,0,3
2,322,17,15,2,AKLKUL,Malaysia,8.83,True,False,False,False,True,0,0
1,54,5,5,2,MELTPE,Taiwan,8.83,True,False,False,False,True,0,2
1,51,5,6,0,DPSICN,South Korea,6.62,False,True,False,False,True,0,2
2,47,6,5,1,PENTPE,Malaysia,4.67,True,False,False,False,True,0,1
1,9,6,0,5,DMKPER,Australia,5.62,True,False,False,False,True,0,0
1,22,4,7,5,MELTPE,Australia,8.83,True,False,False,False,True,0,1
1,143,6,14,1,HKTPEK,China,6.42,True,False,False,False,True,0,2
1,19,6,7,0,HNDPEN,Japan,7.57,True,False,False,False,True,0,1
1,63,29,7,6,CNXMEL,Australia,8.83,True,False,False,False,True,0,1
2,226,6,13,4,HKGPER,Hong Kong,5.62,True,False,False,False,True,0,1
1,10,5,11,3,DMKSYD,Australia,8.58,False,True,False,False,True,0,0
1,10,6,15,1,CMBPVG,China,5.33,True,False,False,False,True,0,0
1,26,20,7,0,DMKPER,Australia,5.62,True,False,False,False,True,0,1
2,97,17,8,1,AKLKUL,Malaysia,8.83,True,False,False,False,True,0,2
2,192,23,4,1,CGKSYD,Indonesia,8.58,True,False,False,False,True,0,2
1,89,4,11,0,MELTPE,Taiwan,8.83,True,False,False,False,True,0,2
1,27,29,12,4,CEBMEL,Australia,8.83,True,False,False,False,True,0,1
1,200,5,9,1,ICNSYD,South Korea,8.58,False,True,False,False,True,0,1
1,26,87,11,2,SYDTRZ,Australia,8.58,True,False,False,False,True,0,2
2,63,4,3,0,COKKIX,Japan,7.0,False,True,False,False,True,0,3
2,48,36,12,0,SGNSYD,Australia,8.58,True,False,False,False,True,0,2
2,44,17,4,1,DPSSYD,Australia,8.58,True,False,False,False,True,0,1
1,77,19,11,2,PNHTPE,Taiwan,4.67,True,False,False,False,True,0,0
1,6,63,8,6,CMBMEL,Australia,8.83,True,False,False,False,True,0,3
1,4,33,9,6,MELPVG,Australia,8.83,True,False,False,False,True,0,1
1,48,30,21,6,MELSGN,Australia,8.83,True,False,False,False,True,0,1
1,139,27,3,3,ICNRGN,South Korea,6.62,True,False,False,False,True,0,1
1,6,21,0,0,CCUSYD,New Zealand,8.58,True,False,False,False,True,0,0
1,156,32,1,3,CANPER,Australia,5.62,True,False,False,False,True,0,2
1,54,34,3,1,OOLPNH,Australia,8.83,True,False,False,False,True,0,0
2,59,5,5,2,MELPEN,Australia,8.83,True,False,False,False,True,0,2
1,12,44,1,1,PERTPE,Australia,5.62,False,True,False,False,True,0,3
1,50,33,11,3,DACSYD,Australia,8.58,True,False,False,False,True,0,1
1,8,2,3,5,MELTPE,Australia,8.83,True,False,False,False,True,0,3
1,41,4,16,0,HNDPER,Japan,7.57,True,False,False,False,True,0,2
2,20,79,11,5,AKLKUL,Malaysia,8.83,True,False,False,False,True,0,1
1,130,48,2,2,SGNSYD,Australia,8.58,True,False,False,False,True,0,1
1,34,5,2,2,PUSSIN,South Korea,6.33,True,False,False,False,True,0,1
4,68,19,0,4,COKSYD,Australia,8.58,True,False,False,False,True,0,2
8,286,5,13,1,KBRKIX,Japan,7.0,True,False,False,False,True,0,1
1,25,4,12,2,DMKKIX,Thailand,7.0,True,False,False,False,True,0,3
1,67,5,3,3,CANMRU,China,7.42,True,False,False,False,True,0,2
1,14,20,9,6,DELMEL,Australia,8.83,True,False,False,False,True,0,3
1,34,5,10,4,OOLSIN,Australia,8.83,True,False,False,False,True,0,2
2,18,4,12,3,HKTHND,Japan,7.57,False,True,False,False,True,0,2
2,51,5,7,1,HNDSIN,Japan,7.57,True,False,False,False,True,0,2
1,32,79,8,0,SGNSYD,Australia,8.58,True,False,False,False,True,0,2
1,83,69,13,3,AKLKUL,Malaysia,8.83,False,True,False,False,True,0,0
1,12,2,13,6,AKLKUL,Malaysia,8.83,True,False,False,False,True,0,1
5,131,37,6,6,MELRGN,Australia,8.83,True,False,False,False,True,0,1
2,186,17,23,3,KNOMEL,Indonesia,8.83,True,False,False,False,True,0,1
1,29,4,9,3,MYYOOL,Malaysia,8.83,True,False,False,False,True,0,1
2,272,31,7,6,PERUTP,Australia,5.62,True,False,False,False,True,0,2
1,46,5,11,6,HKTOOL,China,8.83,True,False,False,False,True,0,0
3,113,5,4,6,PVGSIN,China,5.33,False,True,False,False,True,0,1
2,52,20,7,2,OOLSGN,Australia,8.83,True,False,False,False,True,0,1
1,53,25,7,3,ICNSIN,South Korea,6.62,True,False,False,False,True,0,1
1,149,4,9,1,PENPER,Australia,5.62,True,False,False,False,True,0,1
1,315,34,4,5,DELMEL,Australia,8.83,True,False,False,False,True,0,3
2,42,5,8,5,KCHTPE,Malaysia,4.67,True,False,False,False,True,0,2
2,16,18,8,1,CEBMEL,Australia,8.83,True,False,False,False,True,0,0
2,85,6,2,1,HKTICN,South Korea,6.62,True,False,False,False,True,0,0
1,101,4,6,1,CGKOOL,Indonesia,8.83,True,False,False,False,True,0,2
1,15,21,2,4,ICNPER,Australia,6.62,True,False,False,False,True,0,2
